Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4341021860,https://www.linkedin.com/jobs/view/4341021860,Pending,Unknown,2025-12-02 16:02:28.191999,Found a Bad Word in About Job,"
Sobre a vaga
Desenvolvedor Full Stack 
Estamos em busca de um profissional com forte capacidade técnica para projetar e implementar soluções robustas de backend, banco de dados e visualização de dados em ambiente web.

Responsabilidades – Backend & Banco de Dados

Projetar e implementar banco de dados PostgreSQL ou MySQL preparado para alto volume.
Criar rotinas de ingestão de dados via upload de arquivos CSV de grande porte.
Desenvolver APIs REST para consumo seguro e eficiente dos dados.
Garantir integridade, performance e governança dos dados.

Responsabilidades – Frontend & Visualização
Construir portal web responsivo para visualização e exploração dos dados.
Desenvolver dashboards, gráficos e relatórios interativos.
Criar experiência intuitiva para navegação em grandes volumes de informação.

 Segurança & Automação
Implementar autenticação e autorização (login, senha, níveis de acesso).
Desenvolver funcionalidade para envio automático de relatórios por e-mail, com programação flexível.
Documentar o código e manter arquitetura modular, visando escalabilidade e evolução.

 Requisitos Técnicos

Experiência sólida com Python (FastAPI ou Django), PHP ou JavaScript.
Forte domínio em PostgreSQL ou MySQL: modelagem, otimização, índices, queries complexas.
Experiência com ingestão e parsing de dados CSV em grande volume.
Construção de APIs REST.
Experiência com React + TypeScript para desenvolvimento frontend.
Experiência com bibliotecas de visualização de dados (ECharts, Recharts, ApexCharts, AG Grid, etc).
Conhecimento em Docker e Git.
Experiência com autenticação baseada em tokens (JWT, OAuth, etc).

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4341860028,https://www.linkedin.com/jobs/view/4341860028,Previous resume,Unknown,2025-12-02 16:05:13.988178,Problem in Easy Applying,Failed to click Submit application 😑,Easy Applied,Not Available
4341860028,https://www.linkedin.com/jobs/view/4341860028,Previous resume,Unknown,2025-12-02 16:06:13.500781,Problem in Easy Applying,Failed to click Submit application 😑,Easy Applied,Not Available
4341860028,https://www.linkedin.com/jobs/view/4341860028,Previous resume,Unknown,2025-12-02 16:08:06.484661,Problem in Easy Applying,Failed to click Submit application 😑,Easy Applied,Not Available
4341860028,https://www.linkedin.com/jobs/view/4341860028,resume.pdf,Unknown,2025-12-02 16:09:52.496796,Problem in Easy Applying,Failed to click Submit application 😑,Easy Applied,Not Available
4341860028,https://www.linkedin.com/jobs/view/4341860028,resume.pdf,Unknown,2025-12-02 16:11:44.081657,Problem in Easy Applying,Failed to click Submit application 😑,Easy Applied,Not Available
4339356880,https://www.linkedin.com/jobs/view/4339356880,resume.pdf,Unknown,2025-12-02 16:14:43.479342,Problem in Easy Applying,Failed to click Submit application 😑,Easy Applied,Not Available
4341021860,https://www.linkedin.com/jobs/view/4341021860,Pending,Unknown,2025-12-02 16:19:22.214630,Found a Bad Word in About Job,"
Sobre a vaga
Desenvolvedor Full Stack 
Estamos em busca de um profissional com forte capacidade técnica para projetar e implementar soluções robustas de backend, banco de dados e visualização de dados em ambiente web.

Responsabilidades – Backend & Banco de Dados

Projetar e implementar banco de dados PostgreSQL ou MySQL preparado para alto volume.
Criar rotinas de ingestão de dados via upload de arquivos CSV de grande porte.
Desenvolver APIs REST para consumo seguro e eficiente dos dados.
Garantir integridade, performance e governança dos dados.

Responsabilidades – Frontend & Visualização
Construir portal web responsivo para visualização e exploração dos dados.
Desenvolver dashboards, gráficos e relatórios interativos.
Criar experiência intuitiva para navegação em grandes volumes de informação.

 Segurança & Automação
Implementar autenticação e autorização (login, senha, níveis de acesso).
Desenvolver funcionalidade para envio automático de relatórios por e-mail, com programação flexível.
Documentar o código e manter arquitetura modular, visando escalabilidade e evolução.

 Requisitos Técnicos

Experiência sólida com Python (FastAPI ou Django), PHP ou JavaScript.
Forte domínio em PostgreSQL ou MySQL: modelagem, otimização, índices, queries complexas.
Experiência com ingestão e parsing de dados CSV em grande volume.
Construção de APIs REST.
Experiência com React + TypeScript para desenvolvimento frontend.
Experiência com bibliotecas de visualização de dados (ECharts, Recharts, ApexCharts, AG Grid, etc).
Conhecimento em Docker e Git.
Experiência com autenticação baseada em tokens (JWT, OAuth, etc).

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4338983599,https://www.linkedin.com/jobs/view/4338983599,Previous resume,Unknown,2025-12-02 16:21:19.969460,Problem in Easy Applying,Failed to click Submit application 😑,Easy Applied,Not Available
4311720804,https://www.linkedin.com/jobs/view/4311720804,resume.pdf,Unknown,2025-12-02 16:39:39.570161,Problem in Easy Applying,Failed to click Submit application 😑,Easy Applied,Not Available
